ConAddressID,ConstituentID,AddressTypeID,DisplayName2,StreetLine1,StreetLine2,StreetLine3,City,State,CountryID,BeginDate,EndDate,Remarks,ConAddressURI
156357,2,5,3-Jan-16,NULL,NULL,NULL,NULL,NULL,430,1916,1916,"0, 0",http://pic.nypl.org/address/156357
156358,2,6,12-Jul-02,NULL,NULL,NULL,NULL,NULL,430,2002,2002,"0, 0",http://pic.nypl.org/address/156358
156359,2,7,1930s-1940s,NULL,NULL,NULL,Chicago,IL,1,1930,1949,"41.836944, -87.684722",http://pic.nypl.org/address/156359
83580,20,5,27-May-13,NULL,NULL,NULL,Berlin,NULL,3,1913,1913,"52.5218186636, 13.4015486233",http://pic.nypl.org/address/83580
83581,20,7,1930s,NULL,NULL,NULL,Paris,Île-de-France,9,1930,1939,"48.8567, 2.3508",http://pic.nypl.org/address/83581
83582,20,6,1-Sep-51,NULL,NULL,NULL,Paris,NULL,9,1951,1951,"48.86, 2.3444444444444",http://pic.nypl.org/address/83582
161257,21,5,26-Dec-23,NULL,NULL,NULL,Washington,DC,1,1923,1923,"38.904722, -77.016389",http://pic.nypl.org/address/161257
161258,21,6,9-Feb-13,NULL,NULL,NULL,Albany,NY,1,2013,2013,"42.6525, -73.757222",http://pic.nypl.org/address/161258
160196,28,5,1941,NULL,NULL,NULL,NULL,NULL,430,1941,1941,"0, 0",http://pic.nypl.org/address/160196
221942,35,5,1965,NULL,NULL,NULL,Melbourne,NULL,37,1965,1965,"-37.813611, 144.963056",http://pic.nypl.org/address/221942
160317,54,5,1948,NULL,NULL,NULL,NULL,NULL,430,1948,1948,"0, 0",http://pic.nypl.org/address/160317
111239,63,5,1946,NULL,NULL,NULL,Lubbock,TX,1,1946,1946,"33.5800032746, -101.879967694",http://pic.nypl.org/address/111239
156184,67,5,"June 20, 1887",NULL,NULL,NULL,Hanover,NULL,3,1887,1887,"52.366667, 9.716667",http://pic.nypl.org/address/156184
156185,67,6,8-Jan-48,NULL,NULL,NULL,Kendal,NULL,12,1948,1948,"54.326, -2.745",http://pic.nypl.org/address/156185
156186,67,7,1941-1945,NULL,NULL,NULL,London,NULL,12,1941,1945,"51.4999947297, -0.11672184386",http://pic.nypl.org/address/156186
111240,79,5,1948,NULL,NULL,NULL,New York,NY,1,1948,1948,"40.7127, -74.0059",http://pic.nypl.org/address/111240
111241,82,5,1949,NULL,NULL,NULL,Queens,NY,1,1949,1949,"40.75, -73.866667",http://pic.nypl.org/address/111241
75661,83,5,13-Jun-35,NULL,NULL,NULL,NULL,NULL,102,1935,1935,"42.761, 25.231",http://pic.nypl.org/address/75661
