ConstituentID,DisplayName,DisplayDate,AlphaSort,Nationality,BeginDate,EndDate,TextEntry
2,Myron Kozman,"American, 1916-2002","Kozman, Myron",American,1916,2002,NULL
20,Otto Alfred Wolfgang Schulze Wols,"German, 1913-1951","Wols, Otto Alfred Wolfgang Schulze",German,1913,1951,NULL
21,Richard Artschwager,"American, 1923-2013","Artschwager, Richard",American,1923,2013,NULL
28,Joel Shapiro,"American, born 1941","Shapiro, Joel",American,1941,2041,NULL
35,Treahna Hamm,"Australian, born 1965","Hamm, Treahna",Australian,1965,2065,NULL
54,Julião Sarmento,"Portuguese, born 1948","Sarmento, Julião",Portuguese,1948,2048,NULL
63,James Drake,"American, born 1946","Drake, James",American,1946,2046,NULL
67,Kurt Schwitters,"German, 1887-1948","Schwitters, Kurt",German,1887,1948,NULL
79,Adrian Piper,"American, born 1948","Piper, Adrian",American,1948,2048,NULL
82,Laurie Simmons,"American, born 1949","Simmons, Laurie",American,1949,2049,NULL
83,Christo,"American, born 1935",Christo,American,1935,2035,NULL
85,Eduardo Luigi Paolozzi,"Scottish, 1924-2005","Paolozzi, Eduardo Luigi",Scottish,1924,2005,NULL
143,Hamish Fulton,"English, born 1946","Fulton, Hamish",English,1946,2046,NULL
144,Douglas Gordon,"Scottish, born 1966","Gordon, Douglas",Scottish,1966,2066,NULL
145,Jenny Holzer,"American, born 1950","Holzer, Jenny",American,1950,2050,NULL
146,Anne Marie Jugnet,"French, born 1958","Jugnet, Anne Marie",French,1958,2058,NULL
148,Richard Long,"English, born 1945","Long, Richard",English,1945,2045,NULL
155,Ian Hamilton Finlay,"Scottish, 1925-2006","Finlay, Ian Hamilton",Scottish,1925,2006,NULL
162,Georgeen Comerford,"American, active 1970s-2010s","Comerford, Georgeen",American,1970,2019,NULL
175,Henry Phillipps,"American, active 1970s","Phillipps, Henry",American,1970,1979,NULL
177,Paul Sheridan,"American, active 1970s","Sheridan, Paul",American,1970,1970,NULL
195,Wolf Kahn,"American, born 1927","Kahn, Wolf",American,1927,2027,NULL
237,Sean Mellyn,"American, born 1965","Mellyn, Sean",American,1965,2065,NULL
242,Elizabeth Lennard,"American, born 1953","Lennard, Elizabeth",American,1953,2053,NULL
257,William Seltzer Rice,"American, 1873-1963","Rice, William Seltzer",American,1873,1963,NULL
261,Robert Barry,"American, born 1936","Barry, Robert",American,1936,2036,NULL
264,Kathryn Jacobi,"American, born 1947","Jacobi, Kathryn",American,1947,2047,NULL
268,Kiki Smith,"American, born 1954","Smith, Kiki",American,1954,2054,NULL
273,Yoshiko Shimada,"Japanese, born 1959","Shimada, Yoshiko",Japanese,1959,2059,NULL
305,Robert Therrien,"American, born 1947","Therrien, Robert",American,1947,2047,NULL
308,Edvard Munch,"Norwegian, 1863-1944","Munch, Edvard",Norwegian,1863,1944,NULL
316,Antonio Frasconi,"American, 1919-2013","Frasconi, Antonio",American,1919,2013,NULL
347,Sylvia Plimack Mangold,"American, born 1938","Mangold, Sylvia Plimack",American,1938,2038,NULL
349,Arnulf Rainer,"Austrian, born 1929","Rainer, Arnulf",Austrian,1929,2029,NULL
361,Tetsuya Noda,"Japanese, born 1940","Noda, Tetsuya",Japanese,1940,2040,NULL
377,Alan Uglow,"English, 1941-2011","Uglow, Alan",English,1941,2011,NULL
381,Darren Almond,"English, born 1971","Almond, Darren",English,1971,2071,NULL
383,Mat Collishaw,"English, born 1966","Collishaw, Mat",English,1966,2066,NULL
387,Georgina Starr,"English, born 1968","Starr, Georgina",English,1968,2068,NULL
391,Catherine Yass,"English, born 1963","Yass, Catherine",English,1963,2063,NULL
392,Gilbert & George,"British, active 1960s-2010s",Gilbert & George,British,1960,2019,Gilbert & George is a partnership of Gilbert Proesch and George Passmore.
405,Markus Raetz,"Swiss, born 1941","Raetz, Markus",Swiss,1941,2041,NULL
407,Ian Van Coller,"South African, born 1970","Van Coller, Ian",South African,1970,2070,NULL
426,Ellsworth Kelly,"American, 1923-2015","Kelly, Ellsworth",American,1923,2015,NULL
427,Joseph Kosuth,"American, born 1945","Kosuth, Joseph",American,1945,2045,NULL
430,Robert Rauschenberg,"American, 1925-2008","Rauschenberg, Robert",American,1925,2008,NULL
432,Edward Ruscha,"American, born 1937","Ruscha, Edward",American,1937,2037,NULL
433,Richard Serra,"American, born 1939","Serra, Richard",American,1939,2039,NULL
441,Jürgen Partenheimer,"German, born 1947","Partenheimer, Juergen",German,1947,2047,NULL
446,Yves Chaudouët,"French, born 1959","Chaudouët, Yves",French,1959,2059,NULL
455,Jacques Villon,"French, 1875-1963","Villon, Jacques",French,1875,1963,NULL
460,Bernard Kassoy,"American, born 1914","Kassoy, Bernard",American,1914,2014,NULL
470,Gerhard Richter,"German, born 1932","Richter, Gerhard",German,1932,2032,NULL
474,Jo Ganter,"Scottish, born 1963","Ganter, Jo",Scottish,1963,2063,NULL
485,Hannah Höch,"German, 1889-1978","Höch, Hannah",German,1889,1978,NULL
489,Lawrence Weiner,"American, born 1942","Weiner, Lawrence",American,1942,2042,NULL
490,Jannis Kounellis,"Greek, 1936-2017","Kounellis, Jannis",Greek,1936,2017,NULL
503,Leonard Baskin,"American, 1922-2000","Baskin, Leonard",American,1922,2000,NULL
515,Prentiss Hottel Taylor,"American, 1907-1991","Taylor, Prentiss Hottel",American,1907,1991,NULL
520,Barbara Morgan,"American, 1900-1992","Morgan, Barbara",American,1900,1992,NULL
552,John W. Gregory,"American, 1903-1992","Gregory, John W.",American,1903,1992,NULL
610,Dieter Roth,"Swiss, 1930-1998","Roth, Dieter",Swiss,1930,1998,NULL
649,Lorna Simpson,"American, born 1960","Simpson, Lorna",American,1960,2060,NULL
660,Chuck Close,"American, born 1940","Close, Chuck",American,1940,2040,NULL
671,Richard Hamilton,"British, 1922-2011","Hamilton, Richard",British,1922,2011,NULL
704,John Gordon Ross,"American, 1921-2006","Ross, John Gordon",American,1921,2006,NULL
721,John Henry Bufford Sr.,"American, 1810-1870","Bufford, John Henry Sr.",American,1810,1870,NULL
734,Bruce Conner,"American, 1933-2008","Conner, Bruce",American,1933,2008,NULL
737,Philip Pearlstein,"American, born 1924","Pearlstein, Philip",American,1924,2024,NULL
743,Celia Alvarez Muñoz,"American, born 1937","Muñoz, Celia Alvarez",American,1937,2037,NULL
