"header","predicate","type","value","attribute","subject_id"
"taxonID","dcterms:identifier","plain",,,"$root"
"acceptedNameUsageID","dwc:acceptedNameUsageID","iri","http://www.arc.agric.za/taxon/",,"$root"
"parentNameUsageID","dwc:parentNameUsageID","iri","http://www.arc.agric.za/taxon/",,"$root"
"originalNameUsageID","dwc:originalNameUsageID","iri","http://www.arc.agric.za/taxon/",,"$root"
"scientificName","tc:nameString","plain",,,"$root"
"acceptedNameUsage","dwc:acceptedNameUsage","plain",,,"$root"
"parentNameUsage","dwc:parentNameUsage","plain",,,"$root"
"originalNameUsage","dwc:originalNameUsage","plain",,,"$root"
"namePublishedIn","tc:accordingToString","plain",,,"$root"
"namePublishedInYear","dwc:namePublishedInYear","plain",,,"$root"
"kingdom","dwc:kingdom","plain",,,"$root"
"phylum","dwc:phylum","plain",,,"$root"
"class","dwc:class","plain",,,"$root"
"order","dwc:order","plain",,,"$root"
"family","dwc:family","plain",,,"$root"
"genus","dwc:genus","plain",,,"$root"
"subgenus","dwc:subgenus","plain",,,"$root"
"specificEpithet","dwc:specificEpithet","plain",,,"$root"
"infraspecificEpithet","dwc:infraspecificEpithet","plain",,,"$root"
"taxonRank","dwc:taxonRank","plain",,,"$root"
"scientificNameAuthorship","dwc:scientificNameAuthorship","plain",,,"$root"
"taxonomicStatus","dwc:taxonomicStatus","plain",,,"$root"
"nomenclaturalStatus","dwc:nomenclaturalStatus","plain",,,"$root"
"taxonRemarks","dwc:taxonRemarks","language",,"en","$root"
"scientificName","rdfs:label","plain",,,"$root"
