"header","predicate","type","value","attribute","subject_id"
"typeStatus","dwc:typeStatus","plain",,,"$root"
"typeDesignationType","gbifterms:typeDesignationType","plain",,,"$root"
"typeDesignatedBy","gbifterms:typeDesignatedBy","plain",,,"$root"
"scientificName","dwc:scientificName","plain",,,"_:1"
"taxonRank","dwc:taxonRank","plain",,,"_:1"
"bibliographicCitation","dcterms:bibliographicCitation","plain",,,"$root"
"collectionCode","dwc:collectionCode","plain",,,"$root"
"locality","dwc:locality","plain",,,"_:5"
"sex","dwc:sex","plain",,,"$root"
"$constant","rdf:type","iri","dwc:PreservedSpecimen",,"$root"
"$link","dwciri:identifies","iri","_:2",,"_:1"
"$link","dsw:isBasisForID","iri","_:1",,"$root"
"$link","dsw:derivedFrom","iri","_:2",,"$root"
"$link","dsw:evidenceFor","iri","_:5",,"$root"
"$link","dsw:occurrenceOf","iri","_:2",,"_:5"
"$link","dsw:atEvent","iri","_:3",,"_:5"
"$link","dsw:locatedAt","iri","_:4",,"_:3"
"id","dwciri:toTaxon","iri","http://www.arc.agric.za/taxon/",,"_:1"
"locality","rdfs:label","plain",,,"_:5"
