"header","predicate","type","value","attribute","subject_id"
"$link","dsw:atEvent","iri","_:1",,"_:4"
"$link","dsw:locatedAt","iri","_:2",,"_:1"
"$link","dsw:occurrenceOf","iri","$root",,"_:4"
"$link","dsw:identifies","iri","$root",,"_:3"
"$link","dsw:evidenceFor","iri","_:4",,"$root"
"$constant","rdf:type","iri","dwc:MaterialSample",,"$root"
"$constant","rdf:type","iri","dwc:Organism",,"$root"
"type","dc:type","plain",,,"$root"
"institutionCode","dwc:institutionCode","plain",,,"$root"
"collectionCode","dwc:collectionCode","plain",,,"$root"
"basisOfRecord","dwc:basisOfRecord","plain",,,"$root"
"materialSampleID","dcterms:identifier","plain",,,"$root"
"occurrenceID","dcterms:identifier","plain",,,"$root"
"catalogNumber","dwc:catalogNumber","plain",,,"$root"
"occurrenceRemarks","dwc:occurrenceRemarks","language",,"en","_:4"
"recordNumber","dwc:recordNumber","plain",,,"_:4"
"recordedBy","dwc:recordedBy","plain",,,"_:4"
"individualCount","dwc:individualCount","datatype",,"xsd:int","_:4"
"sex","dwc:sex","plain",,,"_:4"
"lifeStage","dwc:lifeStage","plain",,,"_:4"
"preparations","dwc:preparations","plain",,,"$root"
"disposition","dwc:disposition","plain",,,"$root"
"otherCatalogNumbers","dwc:otherCatalogNumbers","plain",,,"$root"
"associatedMedia","dwc:associatedMedia","plain",,,"$root"
"associatedOccurrences","dwc:associatedOccurrences","plain",,,"$root"
"associatedSequences","dwc:associatedSequences","plain",,,"$root"
"associatedSequences","dsw:hasDerivative","iri",,,"$root"
"occurrenceDetails","dwc:occurrenceRemarks","language",,"en","_:4"
"startDayOfYear","dwc:startDayOfYear","plain",,,"_:1"
"endDayOfYear","dwc:endDayOfYear","plain",,,"_:1"
"year","dwc:year","datatype",,"xsd:gYear","_:1"
"month","dwc:month","plain",,,"_:1"
"day","dwc:day","plain",,,"_:1"
"verbatimEventDate","dwc:verbatimEventDate","plain",,,"_:1"
"fieldNumber","dwc:fieldNumber","plain",,,"_:4"
"fieldNotes","dwc:fieldNotes","plain",,,"_:4"
"higherGeography","dwc:higherGeography","plain",,,"_:2"
"continent","dwc:continent","plain",,,"_:2"
"waterBody","dwc:waterBody","plain",,,"_:2"
"islandGroup","dwc:islandGroup","plain",,,"_:2"
"island","dwc:island","plain",,,"_:2"
"country","dwc:country","plain",,,"_:2"
"stateProvince","dwc:stateProvince","plain",,,"_:2"
"county","dwc:county","plain",,,"_:2"
"locality","dwc:locality","plain",,,"_:2"
"verbatimElevation","dwc:verbatimElevation","plain",,,"_:2"
"minimumElevationInMeters","dwc:minimumElevationInMeters","datatype",,"xsd:int","_:2"
"maximumElevationInMeters","dwc:maximumElevationInMeters","datatype",,"xsd:int","_:2"
"verbatimDepth","dwc:verbatimDepth","plain",,,"_:2"
"minimumDepthInMeters","dwc:minimumDepthInMeters","datatype",,"xsd:decimal","_:2"
"maximumDepthInMeters","dwc:maximumDepthInMeters","datatype",,"xsd:decimal","_:2"
"verbatimLatitude","dwc:verbatimLatitude","plain",,,"_:2"
"verbatimLongitude","dwc:verbatimLongitude","plain",,,"_:2"
"verbatimCoordinateSystem","dwc:verbatimCoordinateSystem","plain",,,"_:2"
"decimalLatitude","dwc:decimalLatitude","datatype",,"xsd:decimal","_:2"
"decimalLongitude","dwc:decimalLongitude","datatype",,"xsd:decimal","_:2"
"geodeticDatum","dwc:geodeticDatum","plain",,,"_:2"
"coordinateUncertaintyInMeters","dwc:coordinateUncertaintyInMeters","datatype",,"xsd:int","_:2"
"georeferenceProtocol","dwc:georeferenceProtocol","plain",,,"_:2"
"georeferenceRemarks","dwc:georeferenceRemarks","language",,"en","_:2"
"identifiedBy","dwc:identifiedBy","plain",,,"_:3"
"identificationQualifier","dwc:identificationQualifier","plain",,,"_:3"
"typeStatus","dwc:typeStatus","plain",,,"$root"
"scientificName","dwc:scientificName","plain",,,"_:3"
"higherClassification","dwc:higherClassification","plain",,,"_:3"
"kingdom","dwc:kingdom","plain",,,"_:3"
"phylum","dwc:phylum","plain",,,"_:3"
"class","dwc:class","plain",,,"_:3"
"order","dwc:order","plain",,,"_:3"
"family","dwc:family","plain",,,"_:3"
"genus","dwc:genus","plain",,,"_:3"
"subgenus","dwc:subgenus","plain",,,"_:3"
"specificEpithet","dwc:specificEpithet","plain",,,"_:3"
"infraspecificEpithet","dwc:infraspecificEpithet","plain",,,"_:3"
"taxonRank","dwc:taxonRank","plain",,,"_:3"
"scientificNameAuthorship","dwc:scientificNameAuthorship","plain",,,"_:3"
"higherGeography","rdfs:label","plain",,,"_:2"
