"header","predicate","type","value","attribute","subject_id"
"$link","dsw:locatedAt","iri","_:1",,"$root"
"$link","dcterms:relation","iri","_:2",,"$root"
"type","dc:type","plain",,,"$root"
"language","dc:language","plain",,,"_:2"
"rightsHolder","xmpRights:Owner","plain",,,"_:2"
"bibliographicCitation","dcterms:bibliographicCitation","plain",,,"_:2"
"datasetID","dcterms:identifier","plain",,,"_:2"
"datasetName","dwc:datasetName","language",,"en","_:2"
"eventID","dcterms:identifier","plain",,,"$root"
"samplingProtocol","dwc:samplingProtocol","language",,"en","$root"
"sampleSizeValue","dwc:sampleSizeValue","plain",,,"$root"
"sampleSizeUnit","dwc:sampleSizeUnit","plain",,,"$root"
"samplingEffort","dwc:samplingEffort","plain",,,"$root"
"eventDate","dwc:eventDate","plain",,,"$root"
"year","dwc:year","datatype",,"xsd:gYear","$root"
"habitat","dwc:habitat","language",,"en","$root"
"continent","dwc:continent","plain",,,"_:1"
"country","dwc:country","plain",,,"_:1"
"countryCode","dwc:countryCode","plain",,,"_:1"
"county","dwc:county","plain",,,"_:1"
"locality","dwc:locality","language",,"en","_:1"
"verbatimCoordinates","dwc:verbatimCoordinates","plain",,,"_:1"
"verbatimCoordinateSystem","dwc:verbatimCoordinateSystem","plain",,,"_:1"
"verbatimSRS","dwc:verbatimSRS","plain",,,"_:1"
"decimalLatitude","dwc:decimalLatitude","datatype",,"xsd:decimal","_:1"
"decimalLongitude","dwc:decimalLongitude","datatype",,"xsd:decimal","_:1"
"geodeticDatum","dwc:geodeticDatum","plain",,,"_:1"
"coordinateUncertaintyInMeters","dwc:coordinateUncertaintyInMeters","datatype",,"xsd:decimal","_:1"
"pointRadiusSpatialFit","dwc:pointRadiusSpatialFit","plain",,,"_:1"
"footprintWKT","dwc:footprintWKT","plain",,,"_:1"
"footprintSRS","dwc:footprintSRS","plain",,,"_:1"
"locality","rdfs:label","language",,"en","_:1"
