"header","predicate","type","value","attribute","subject_id"
"$link","dsw:atEvent","iri","_:1",,"$root"
"$link","dsw:locatedAt","iri","_:2",,"_:1"
"$link","dsw:occurrenceOf","iri","_:3",,"$root"
"$link","dsw:identifies","iri","_:3",,"_:4"
"occurrenceID","dcterms:identifier","plain",,,"$root"
"taxonID","dwciri:toTaxon","iri","http://eol.org/traitbank/",,"_:4"
"behavior","dwc:behavior","plain",,,"$root"
"occurrenceRemarks","dwc:occurrenceRemarks","plain",,,"$root"
"individualCount","dwc:individualCount","plain",,,"$root"
"country","dwc:country","plain",,,"_:2"
"waterBody","dwc:waterBody","plain",,,"_:2"
"verbatimEventDate","dwc:verbatimEventDate","plain",,,"_:1"
"references","dcterms:isReferencedBy","iri","http://eol.org/traitbank/",,"$root"
"year","dwc:year","datatype",,"xsd:gYear","_:1"
"month","dwc:month","plain",,,"_:1"
"municipality","dwc:municipality","plain",,,"_:2"
"day","dwc:day","plain",,,"_:1"
"stateProvince","dwc:stateProvince","plain",,,"_:2"
"continent","dwc:continent","plain",,,"_:2"
"island","dwc:island","plain",,,"_:2"
"islandGroup","dwc:islandGroup","plain",,,"_:2"
"decimalLatitude","dwc:decimalLatitude","plain",,,"_:2"
"decimalLongitude","dwc:decimalLongitude","plain",,,"_:2"
"country","rdfs:label","plain",,,"_:2"
"waterBody","rdfs:label","plain",,,"_:2"
