header,predicate,type,value,attribute,subject_id
site_name_zh-Latn-pinyin,rdfs:label,language,,zh-Latn-pinyin,$root
site_name_zh-Hans,rdfs:label,language,,zh-Hans,$root
site_name_en,rdfs:label,language,,en,$root
site_geonames_id,foaf:based_near,iri,http://sws.geonames.org/,/,$root
site_getty_togn_id,foaf:based_near,iri,http://vocab.getty.edu/tgn/,-place,$root
locality_zn-Hans,dwc:locality,language,,zh-Hans,$root
locality_en,dwc:locality,language,,en,$root
locality_geonames_id,schema:containedInPlace,iri,http://sws.geonames.org/,/,$root
locality_getty_togn_id,schema:containedInPlace,iri,http://vocab.getty.edu/tgn/,-place,$root
$link,dcterms:temporal,iri,_:1,,$root
$constant,rdf:type,iri,schema:Place,,$root
$constant,gn:featureCode,iri,gn:S.ANS,,$root
site_date_verbatim_zn-Hans,rdfs:label,language,,zh-Hans,_:1
site_date_verbatim_en,rdfs:label,language,,en,_:1
earliest_period_iri,time:intervalStartedBy,iri,,,_:1
latest_period_iri,time:intervalFinishedBy,iri,,,_:1
$constant,rdf:type,iri,time:ProperInterval,,_:1
