not_used,iri_local_name,modified,site_name_zh-Hans,site_name_zh-Latn-pinyin,site_name_en,site_geonames_id,site_getty_togn_id,earliest_period_zn-Hans,earliest_period_en,earliest_period_iri,latest_period_zn-Hans,latest_period_en,latest_period_iri,site_date_verbatim_zn-Hans,site_date_verbatim_en,locality_zn-Hans,locality_en,locality_geonames_id,locality_getty_togn_id
http://lod.vanderbilt.edu/historyart/site/Damiao,Damiao,2016-10-19T13:46:00-05:00,大庙飞来殿,Damiao,,,,,,,,,,"宋至元: 993 or 1327 see: ZGMSCD, p. 922",,四川省峨眉县,,,
http://lod.vanderbilt.edu/historyart/site/Yunyansi,Yunyansi,2016-10-19T13:46:00-05:00,云岩寺,Yunyansi,,,,,,,,,,宋至清,,四川省江油县,,,
http://lod.vanderbilt.edu/historyart/site/Guangdesi,Guangdesi,2016-10-19T13:46:00-05:00,广德寺,Guangdesi,,,,,,,,,,宋至清,,四川省遂宁市,,,
http://lod.vanderbilt.edu/historyart/site/Qufu,Qufu,2016-10-19T13:46:00-05:00,曲阜孔庙,Qufu,Temple of Confucius in Qufu,9072554,,,,,,,,金至清,,山东省曲阜县,,,8631848
http://lod.vanderbilt.edu/historyart/site/Daimiao,Daimiao,2016-10-19T13:46:00-05:00,岱庙*,Daimiao,,,,,,,,,,宋至清,,山东省泰安市,,,
http://lod.vanderbilt.edu/historyart/site/Lingyansi,Lingyansi,2016-10-19T13:46:00-05:00,灵岩寺,Lingyansi,Lingyan Temple ,1803429,8625249,唐,Tang,http://n2t.net/ark:/99152/p0fp7wvrjpj,清,Qing,http://n2t.net/ark:/99152/p0fp7wvtqp9,唐至清,Tang Dynasty to Ching Dynasty,山东省长清县,Changqing District,1815582,
http://lod.vanderbilt.edu/historyart/site/Wanrong,Wanrong,2016-10-19T13:46:00-05:00,万荣稷王庙,Wanrong,,,,,,,,,,金,,山西省万荣县,,,
http://lod.vanderbilt.edu/historyart/site/Xining,Xining,2016-10-19T13:46:00-05:00,乡宁寿圣寺,Xining,,,,,,,,,,金至明,,山西省乡宁县,,,
http://lod.vanderbilt.edu/historyart/site/Yanqingsi,Yanqingsi,2016-10-19T13:46:00-05:00,延庆寺,Yanqingsi,,,,,,,,,,宋至清,,山西省五台县,Wutai_County,1790954,8675821
http://lod.vanderbilt.edu/historyart/site/Nanchansi,Nanchansi,2016-10-19T13:46:00-05:00,南禅寺,Nanchansi,,,,,,,,,,唐,,山西省五台县,,,
http://lod.vanderbilt.edu/historyart/site/Foguangsi,Foguangsi,2016-10-19T13:46:00-05:00,佛光寺,Foguangsi,,,,,,,,,,唐至清,,山西省五台县,,,
http://lod.vanderbilt.edu/historyart/site/Sanjunmiao,Sanjunmiao,2016-10-19T13:46:00-05:00,三峻庙,Sanjunmiao,,,,,,,,,,金至清,,山西省壶关县,,,
http://lod.vanderbilt.edu/historyart/site/Shanhuasi,Shanhuasi,2016-10-19T13:46:00-05:00,善化寺,Shanhuasi,,,,,,,,,,"辽,金; rebuilt 1128-1143",,山西省大同市,,2037794,8208820
http://lod.vanderbilt.edu/historyart/site/Huayansi,Huayansi,2016-10-19T13:46:00-05:00,华严寺,Huayansi,,,,,,,,,,辽、金、清,,山西省大同市,,2037794,8208820
http://lod.vanderbilt.edu/historyart/site/Jinci,Jinci,2016-10-19T13:46:00-05:00,晋祠,Jinci,,,,,,,,,,宋-20th century,,山西省太原市,,,
http://lod.vanderbilt.edu/historyart/site/Anchansi,Anchansi,2016-10-19T13:46:00-05:00,安禅寺,Anchansi,,,,,,,,,,宋至明,,山西省太谷县,Taiguxian,,
http://lod.vanderbilt.edu/historyart/site/Zhenshengsi,Zhenshengsi,2016-10-19T13:46:00-05:00,真圣寺,Zhenshengsi,,,,,,,,,,金至清,,山西省太谷县: 太谷县城东40公里的范村镇蚍蜉村,,,
