27,namespace,identifier,dwc:catalogNumber,dwc:occurrenceRemarks,dwc:recordedBy,dwc:recordNumber,dwc:eventDate,dwc:decimalLatitude,dwc:decimalLongitude,dwc:geodeticDatum,geo:alt,dwc:coordinateUncertaintyInMeters,dwc:georeferenceRemarks,dwc:continent,dwc:countryCode,dwc:stateProvince,dwc:county,dwc:locality,dcterms:created,BQ mrtg:accessURL,BQ mix:imageWidth,BQ mix:imageHeight,BQ mix:xSamplingFrequency,GQ mrtg:accessURL,GQ mix:imageWidth,GQ mix:imageHeight,LQ mrtg:accessURL,LQ mix:imageWidth,LQ mix:imageHeight,TN mrtg:accessURL,TN mix:imageWidth,TN mix:imageHeight
http://bioimages.vanderbilt.edu/ind-kirchoff/mason01,specimen,ncu592748,592748,"Small-medium tree, height greater than 30 ft., DBH about 1 ft. In fruit.",Emily C. Mason,1,2010-10-18,36.06793,-79.80746,EPSG:4326,253,5,Location determined by examination of Google Maps..,NA,US,North Carolina,Guilford,"Greensboro, University of North Carolina at Greensboro campus, between Stone and McIver buildings, near old kiln, at intersection of 2 walkways. ",,,,,,,,,,,,,,
http://bioimages.vanderbilt.edu/ind-kirchoff/mason02,specimen,ncu592814,592814,"Large tree, height greater than 60 ft., DBH about 3 ft.",Emily C. Mason,2,2010-10-18,36.06772,-79.80781,EPSG:4326,253,5,Location determined by examination of Google Maps.,NA,US,North Carolina,Guilford,"Greensboro, University of North Carolina at Greensboro campus, behind Forney building at intersection of brick and concrete walkway (nearest to lamp post). ",,,,,,,,,,,,,,
http://bioimages.vanderbilt.edu/ind-kirchoff/mason03,specimen,ncu592813,592813,"Large tree, height  greater than 60 ft., DBH about 3.5 ft.",Emily C. Mason,3,2010-10-18,36.06762,-79.80785,EPSG:4326,253,5,Location determined by examination of Google Maps.,NA,US,North Carolina,Guilford,"Greensboro, University of North Carolina at Greensboro campus, behind Forney building at intersection of 2 concrete walkways. ",,,,,,,,,,,,,,
http://bioimages.vanderbilt.edu/ind-kirchoff/mason04,specimen,ncu592812,592812,"Large tree, height greater than 80 ft., DBH about 5 ft. In fruit.",Emily C. Mason,4,2010-10-18,36.06741,-79.80824,EPSG:4326,254,5,Location determined by examination of Google Maps.,NA,US,North Carolina,Guilford,"Greensboro, University of North Carolina at Greensboro campus, beside Forney building on side closest to Foust building. ",,,,,,,,,,,,,,
http://bioimages.vanderbilt.edu/uncg/5,specimen,ncu592811,592811,"Small-medium tree, height about 20 ft., DBH about 1 ft.",Emily C. Mason,5,2010-10-18,36.0669,-79.80669,EPSG:4326,254,5,Location determined by examination of Google Maps.,NA,US,North Carolina,Guilford,"Greensboro, University of North Carolina at Greensboro campus, park in front of Foust building, tag #5, near Aycock Auditorium. ",,,,,,,,,,,,,,
http://bioimages.vanderbilt.edu/uncg/14,specimen,ncu592810,592810,"Small-medium tree, height about 20 ft., DBH less than 1 ft.",Emily C. Mason,6,2010-10-18,36.06655,-79.80666,EPSG:4326,252,5,Location determined by examination of Google Maps.,NA,US,North Carolina,Guilford,"Greensboro, University of North Carolina at Greensboro campus, park in front of Foust building, tag #14, near shrubs lining Spring Garden St. ",,,,,,,,,,,,,,
http://bioimages.vanderbilt.edu/uncg/17,specimen,ncu592749,592749,"Small-medium tree, height about 20 ft., DBH less than 1 ft.",Emily C. Mason,7,2010-10-18,36.06651,-79.80686,EPSG:4326,252,5,Location determined by examination of Google Maps.,NA,US,North Carolina,Guilford,"Greensboro, University of North Carolina at Greensboro campus, park in front of Foust building, tag #17, near shrubs lining Spring Garden St. ",,,,,,,,,,,,,,
http://bioimages.vanderbilt.edu/uncg/26,specimen,ncu592809,592809,"Small-medium tree, height about 20 ft., DBH  less than 1 ft.",Emily C. Mason,8,2010-10-18,36.06688,-79.80708,EPSG:4326,252,5,Location determined by examination of Google Maps.,NA,US,North Carolina,Guilford,"Greensboro, University of North Carolina at Greensboro campus, park in front of Foust building, tag #26, near shrubs lining Spring Garden St. ",,,,,,,,,,,,,,
http://bioimages.vanderbilt.edu/ind-kirchoff/mason09,specimen,ncu592808,592808,"Large tree, height  greater than 30 ft., DBH about 3 ft. In fruit.",Emily C. Mason,9,2010-10-18,36.06672,-79.80719,EPSG:4326,252,5,Location determined by examination of Google Maps.,NA,US,North Carolina,Guilford,"Greensboro, University of North Carolina at Greensboro campus, park in front of Foust building, east of sidewalk coming from Foust/McIver side. ",,,,,,,,,,,,,,
http://bioimages.vanderbilt.edu/ind-kirchoff/mason10,specimen,ncu592803,592803,"Large tree, height  greater than 50 ft., DBH about 2 ft. In fruit.",Emily C. Mason,10,2010-10-19,36.06669,-79.8043,EPSG:4326,252,5,Location determined by examination of Google Maps.,NA,US,North Carolina,Guilford,"Greensboro, near University of North Carolina at Greensboro campus, in the park at intersection of Spring Garden and Springdale, in front of deck on right side. ",,,,,,,,,,,,,,
